Alemania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
DAX,"13.172,35","13.296,15","12.667,85","+692,33","+5,55%",16:30:52
Euro Stoxx 50,"3.420,16","3.442,12","3.237,50","+216,11","+6,74%",16:30:46
Classic All Share,"8.808,91","8.913,35","8.395,98","+429,63","+5,13%",16:15:00
Midcap,"28.016,99","28.520,79","27.671,88","+670,70","+2,45%",16:15:00
Technology All Share,"4.111,38","4.297,71","4.064,92","-88,71","-2,11%",16:15:00
HDAX,"7.247,89","7.305,27","6.995,12","+358,84","+5,21%",16:15:00
Prime All Share,"5.356,88","5.403,17","5.104,02","+256,78","+5,03%",16:15:00
SDAX,"12.641,83","12.861,91","12.447,27","+330,62","+2,69%",16:15:00
TecDAX,"2.980,29","3.084,25","2.953,63","-33,82","-1,12%",16:15:00
XETRA DAX Price,"13.219,17","13.297,05","12.670,58","+739,15","+5,92%",16:15:00
 
Arabia Saudí
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
MSCI TADAWUL 30,"1.086,11","1.086,11","1.077,04","+3,72","+0,34%",05/11
Tadawul All Share,"8.366,46","8.366,46","8.178,33","+206,11","+2,53%",13:19:00
NOMU Parallel Market Capped,"17.654,95","17.831,92","16.606,56","+755,84","+4,47%",13:19:00
 
Argentina
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
S&P Merval,"49.916,44","50.586,65","48.492,54","+1423,90","+2,94%",16:10:00
S&P/BYMA Argentina General,2.102.229,2.127.134,2.041.535,+60694,"+2,97%",16:10:00
 
Australia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
S&P/ASX 200,"6.298,80","6.303,10","6.190,20","+108,60","+1,75%",07:09:44
ASX All Ordinaries,"6.515,70","6.517,70","6.395,00","+120,70","+1,89%",07:09:44
ASX Small Ordinaries,"2.940,70","2.940,70","2.878,20","+62,50","+2,17%",07:09:44
S&P/ASX 100,"5.188,00","5.193,20","5.100,10","+87,90","+1,72%",07:09:44
S&P/ASX 20,"3.376,40","3.381,50","3.327,70","+48,70","+1,46%",07:09:44
S&P/ASX 300,"6.280,70","6.284,10","6.170,80","+109,90","+1,78%",07:09:44
S&P/ASX 50,"5.984,70","5.994,70","5.892,40","+92,30","+1,57%",07:09:44
S&P/ASX All Australian 200,"6.246,30","6.250,00","6.137,60","+108,70","+1,77%",07:09:44
S&P/ASX All Australian 50,"5.952,50","5.963,00","5.862,30","+90,20","+1,54%",07:09:44
S&P/ASX Midcap 50,"8.184,80","8.184,80","7.987,90","+196,90","+2,46%",07:09:44
 
Austria
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
ATX,"2.334,34","2.340,58","2.154,04","+181,11","+8,41%",16:15:54
ATX 5,"925,55","946,54","925,43","-14,70","-1,56%",06/11
ATX Prime,"1.103,05","1.118,91","1.101,43","-9,33","-0,84%",06/11
FTSE Austria,"202,55","202,55","202,55","0,00","0,00%",07/11
Immobilien ATX EUR,"262,20","264,51","260,27","-0,03","-0,01%",06/11
New Europe Blue Chip EUR,"858,20","860,59","846,35","+6,37","+0,75%",06/11
 
Bahréin
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Bahrain All Share,"1.441,35","1.442,27","1.441,35","0,00","0,00%",08/11
 
Bangladés
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
DSE 30,"1.719,86","1.719,86","1.719,86","+1,06","+0,06%",09:31:00
DSE Broad,"4.928,07","4.928,07","4.928,07","+4,42","+0,08%",09:31:00
 
Bélgica
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BEL 20,"3.374,50","3.404,70","3.229,60","+183,17","+5,74%",16:24:42
BEL 20 GR,"9.722,10","9.772,67","9.270,17","+561,89","+6,13%",16:15:30
BEL 20 Net Return,"7.403,53","7.442,04","7.059,38","+427,89","+6,13%",16:15:30
BEL Mid,"5.313,59","5.343,36","5.187,71","+176,79","+3,44%",16:15:30
BEL Small,"10.935,31","10.964,92","10.701,53","+354,10","+3,35%",16:15:30
 
Bosnia-Herzegovina
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BIRS,"593,49","596,31","593,49","0,00","0,00%",06/11
Sarajevo 10,"798,09","803,46","798,09","0,00","0,00%",06/11
Sarajevo 30,"1.433,34","1.435,36","1.433,34","0,00","0,00%",06/11
 
Botsuana
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BSE Domestic Company,"6.871,91","6.871,91","6.871,91","0,00","0,00%",06/11
BSE Foreign Company,"1.547,32","1.547,32","1.547,32","0,00","0,00%",06/11
 
Brasil
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Bovespa,"103.700,04","105.146,56","100.953,95","+2774,93","+2,75%",16:16:00
Brazil 50,"16.990,82","17.240,40","16.545,02","+451,07","+2,73%",16:16:00
Tag Along,"23.067,00","23.398,45","22.516,86","+550,43","+2,44%",16:16:00
Brazil broad-Based,"4.121,25","4.180,67","4.021,92","+99,37","+2,47%",16:16:00
Brazil Index,"44.118,44","44.750,12","43.034,08","+1095,70","+2,55%",16:16:00
Mid-Large Cap Index,"1.990,64","2.019,57","1.941,27","+49,94","+2,57%",16:16:00
Small Cap Index,"2.507,69","2.546,91","2.460,96","+46,90","+1,91%",16:16:00
 
Bulgaria
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BSE SOFIX,"424,94","425,97","423,74","0,00","0,00%",06/11
BGBX40,"97,58","97,68","97,39","0,00","0,00%",06/11
BGTR30,"483,27","485,38","483,27","0,00","0,00%",06/11
 
Canadá
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
S&P/TSX,"16.602,38","16.715,72","16.550,71","+319,55","+1,96%",16:16:00
S&P/TSX 60,"987,80","994,65","983,73","+20,93","+2,16%",16:16:00
S&P/TSX MidCap,"1.022,14","1.030,27","1.020,08","+12,19","+1,21%",16:16:00
S&P/TSX Small Cap,"575,42","581,32","573,45","+9,73","+1,72%",16:16:00
S&P/TSX Venture,"727,36","734,92","725,39","-14,93","-2,01%",16:16:00
 
Chile
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
S&P CLX IPSA,"3.909,16","3.951,95","3.812,38","+96,78","+2,54%",16:30:48
Inter 10,"4.962,93","5.024,79","4.830,11","+132,82","+2,75%",16:10:49
S&P CLX IGPA,"19.613,85","19.751,89","19.105,92","+507,93","+2,66%",16:31:07
 
China
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Shanghai,"3.373,73","3.380,82","3.329,43","+61,57","+1,86%",08:59:00
SZSE Component,"14.141,15","14.197,85","13.934,37","+302,73","+2,19%",09:29:03
China A50,"16.563,48","16.612,91","16.299,22","+264,26","+1,62%",08:01:00
S&P/CITIC300,"4.269,23","4.283,24","4.233,01","-3,76","-0,09%",06/11
S&P/CITIC50,"4.263,79","4.278,52","4.229,12","+3,77","+0,09%",06/11
Shanghai SE A Share,"3.535,95","3.543,39","3.489,55","+64,52","+1,86%",08:59:00
SSE 100,"6.975,60","7.002,12","6.920,60","+104,95","+1,53%",08:59:00
 
Chipre
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Cyprus Main Market,"26,65","26,83","25,71","+0,00","+0,00%",06/11
Cyprus Alternative Market,"707,76","715,26","706,96","0,00","0,00%",06/11
Cyprus Main and Parallel Market,"43,32","43,54","42,56","+0,00","+0,00%",06/11
 
Colombia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
COLCAP,"1.213,32","1.224,64","1.172,34","+40,98","+3,50%",16:31:00
COLEQTY,"819,92","819,92","811,29","+0,00","+0,00%",06/11
FTSE Colombia,"3.496,54","3.496,54","3.496,54","+0,00","+0,00%",07/11
 
Corea del Sur
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
KOSPI,"2.447,20","2.459,15","2.434,52","+30,70","+1,27%",10:03:20
KOSPI 50,"2.267,12","2.283,01","2.261,03","+21,02","+0,94%",10:03:20
FTSE Korea,"354,56","354,56","354,56","+0,00","+0,00%",07/11
KOSDAQ,"851,21","851,21","845,17","+14,43","+1,72%",10:01:00
KQ 100,"1.752,36","1.759,39","1.743,06","+23,36","+1,35%",10:01:00
KOSPI 100,"2.491,44","2.507,78","2.484,35","+25,34","+1,03%",10:03:20
KOSPI 200,"325,83","328,02","324,51","+3,73","+1,16%",10:03:12
KOSPI Large Sized,"2.400,72","2.416,20","2.393,04","+23,75","+1,00%",10:03:20
KOSPI Medium Sized,"2.657,31","2.660,30","2.610,66","+71,94","+2,78%",10:03:20
KOSPI Small Sized,"2.039,55","2.039,55","2.006,80","+48,34","+2,43%",10:03:20
KRX 100,"5.211,71","5.246,24","5.197,48","+54,19","+1,05%",10:03:12
 
Costa de Marfil
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
BRVM 10,"116,31","116,94","116,31","0,00","0,00%",06/11
BRVM Composite,"128,33","128,34","128,33","0,00","0,00%",06/11
 
Costa Rica
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Costa Rica Indice Accionario,"7.853,37","7.853,37","7.853,37","0,00","0,00%",01/01
 
Croacia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
CROBEX,"1.587,33","1.587,33","1.587,33","0,00","0,00%",06/11
CROBEX10,"998,21","998,21","998,21","0,00","0,00%",06/11
 
Dinamarca
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
OMXC20,"1.385,10","1.450,16","1.371,52","-32,91","-2,32%",16:16:00
OMXC25,"1.556,82","1.629,67","1.545,84","-29,51","-1,86%",16:16:00
OMX Copenhagen All shares,"1.938,05","2.015,77","1.924,82","-31,45","-1,60%",16:15:00
OMX Copenhagen Benchmark,"2.124,61","2.220,08","2.107,71","-48,80","-2,25%",16:15:00
OMX Copenhagen Mid Cap,"582,12","591,04","579,69","+3,99","+0,69%",16:15:00
OMX Copenhagen Small Cap,"312,65","314,94","311,66","+3,03","+0,98%",16:15:00
 
Ecuador
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Guayaquil Select,"192,84","192,84","192,84","0,00","0,00%",05/11
Ecuador General Adj,"1.356,22","1.356,22","1.356,22","+0,00","+0,00%",05/11
 
Egipto
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
EGX 30,"10.838,66","10.838,66","10.680,27","+158,39","+1,48%",13:29:56
EGX 70,"1.869,25","1.871,04","1.855,17","+12,06","+0,65%",08/11
S&P/ESG Egypt,"576,32","576,32","576,32","+1,65","+0,29%",05/11
EGX 100,"1.084,95","1.119,61","1.084,95","0,00","0,00%",07/05
EGX 30 Capped,"12.529,26","12.529,26","12.455,58","+69,06","+0,55%",08/11
EGX 70,"538,04","539,06","534,00","0,00","0,00%",30/01
 
Emiratos Árabes Unidos
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
ADX General,"4.743,43","4.744,96","4.702,24","+37,27","+0,79%",11:00:00
DFM General,"2.219,82","2.219,82","2.177,25","+38,17","+1,75%",10:55:00
 
Eslovaquia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
SAX,"348,81","348,81","348,81","+0,00","+0,00%",06/11
 
Eslovenia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Blue-Chip SBITOP,"839,50","839,50","818,79","+18,48","+2,25%",06:00:00
 
España
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
IBEX 35,"7.492,00","7.527,00","6.946,00","+621,60","+9,05%",16:31:31
FTSE Latibex,"1.642,30","1.642,30","1.550,60","+104,20","+6,77%",16:01:00
I.G. Bolsa Madrid,"736,20","742,47","684,16","+59,05","+8,72%",16:16:00
IBEX Medium Cap,"10.910,60","10.984,40","10.627,90","+396,50","+3,77%",16:16:00
IBEX Small Cap,"6.789,50","6.859,40","6.638,00","+198,30","+3,01%",16:16:00
VIBEX,"23,10","23,10","23,10","0,00","0,00%",06/11
 
Estados Unidos
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Dow Jones,"29.552,22","29.933,83","29.467,22","+1.228,82","+4,34%",16:30:10
